"Ion_Name","Ion_Mass"
"M-H [1-]","mw - 1.007276"
"M-2H [2-]","mw/2 - 1.007276"
"M-3H [3-]","mw/3 - 1.007276"
"M-H2O-H [1-]","mw - 19.01839"
"M-H+O [1-]","mw - PROTON + 15.99491"
"M+K-2H [1-]","mw + 37.9555 - 2*PROTON"
"M+Na-2H [1- ]","mw + 20.974666"
"M+Cl [1-]","mw + 34.9689"
"M+Cl37 [1-]","mw + 36.9659"
"M+K-2H [1-]","mw + 36.948606"
"M+FA-H [1-]","mw + 44.998201"
"M+Hac-H [1-]","mw + 59.013851"
"M+Br [1-]","mw + 78.918885"
"M+Br81 [1-]","mw + 80.9163"
"M+TFA-H [1-]","mw + 112.985586"
"M+ACN-H [1-]","mw + 2*12 + 3*1.007825 + 14.00307 - PROTON"
"M+HCOO [1-]","mw + 1.007825 + 12 + 2*15.99491"
"M+CH3COO [1-]","mw + 3*1.007825 + 2*12 + 2*15.99491"
"2M-H [1-]","(2*mw) - 1.007276"
"2M+FA-H [1-]","(2*mw) + 44.998201"
"2M+Hac-H [1-]","(2*mw) + 59.013851"
"3M-H [1-]","(3*mw) - 1.007276"
"M(C13)-H [1-]","mw + 1.0034 - PROTON"
"M(S34)-H [1-]","mw + 1.9958 - PROTON"
"M(Cl37)-H [1-]","mw + 1.9972 - PROTON"
